business_id,business_name,business_address,business_city,business_state,business_postal_code,business_latitude,business_longitude,business_location,business_phone_number,inspection_id,inspection_date,inspection_score,inspection_type,violation_id,violation_description,risk_category
5800,John Chin Elementary School,350 Broadway St,San Francisco,CA,94133,37.8,-122.4,"{'longitude': '-122.403154', 'needs_recoding': False, 'latitude': '37.798358', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,5800_20171017,17-10-2017,98,Routine - Unscheduled,5800_20171017_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
64236,Sutter Pub and Restaurant,700 Sutter St,San Francisco,CA,94102,37.79,-122.41,"{'longitude': '-122.41188', 'needs_recoding': False, 'latitude': '37.78881', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,64236_20170725,25-07-2017,88,Routine - Unscheduled,64236_20170725_103133,Foods not protected from contamination,Moderate Risk
1991,SRI THAI CUISINE,4621 LINCOLN Way,San Francisco,CA,94122,37.76,-122.51,"{'longitude': '-122.507779', 'needs_recoding': False, 'latitude': '37.764073', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1991_20171129,29-11-2017,86,Routine - Unscheduled,1991_20171129_103139,Improper food storage,Low Risk
3816,Washington Bakery & Restaurant,733 Washington St,San Francisco,CA,94108,37.8,-122.41,"{'longitude': '-122.405845', 'needs_recoding': False, 'latitude': '37.795174', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,3816_20160728,28-07-2016,67,Routine - Unscheduled,3816_20160728_103108,Contaminated or adulterated food,High Risk
39119,Brothers Restaurant,4128 GEARY Blvd,San Francisco,CA,94118,37.78,-122.46,"{'longitude': '-122.463762', 'needs_recoding': False, 'latitude': '37.781148', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,39119_20160718,18-07-2016,79,Routine - Unscheduled,39119_20160718_103133,Foods not protected from contamination,Moderate Risk
6643,T & L FOOD MARKET,405 EDDY St,San Francisco,CA,94109,37.78,-122.41,"{'longitude': '-122.414341', 'needs_recoding': False, 'latitude': '37.783661', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,6643_20160609,09-06-2016,69,Routine - Unscheduled,6643_20160609_103102,Unclean hands or improper use of gloves,High Risk
79974,"Antonelli Brothers Meat, Fish, and Poultry Inc.",3585 California St,San Francisco,CA,,,,,14155757413,79974_20161017,17-10-2016,94,Routine - Unscheduled,79974_20161017_103161,Low risk vermin infestation,Low Risk
1939,STARBUCKS COFFEE CO. #603,74 NEW MONTGOMERY St,San Francisco,CA,94105,37.79,-122.4,"{'longitude': '-122.400998', 'needs_recoding': False, 'latitude': '37.787838', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,1939_20161214,14-12-2016,98,Routine - Unscheduled,1939_20161214_103154,Unclean or degraded floors walls or ceilings,Low Risk
68872,Jiang Ling Cuisine Restaurant,2517 SAN BRUNO Ave,San Francisco,CA,94134,37.73,-122.4,"{'longitude': '-122.404526', 'needs_recoding': False, 'latitude': '37.729985', 'human_address': '{""address"":"""",""city"":"""",""state"":"""",""zip"":""""}'}",,68872_20171212,12-12-2017,72,Routine - Unscheduled,68872_20171212_103105,Improper cooling methods,High Risk
80242,Wing Lee BBQ Restaurant,501 Clement St.,San Francisco,CA,94118,,,,,80242_20160509,09-05-2016,78,Routine - Unscheduled,80242_20160509_103149,Wiping cloths not clean or properly stored or inadequate sanitizer,Low Risk
